ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC00967524	338.44	C24H22N2	c1ccc(cc1)C[n+]2ccc(cc2)c3cc[n+](cc3)Cc4ccccc4	ATPase	0.83	0.13
ZINC00983974	193.24	C14H11N	c1ccc(cc1)C#Cc2ccccc2N	Autophagy	1.13	0.08
ZINC00988923	261.73	C10H12ClNO3S	c1cc(ccc1N[C@H]2CS(=O)(=O)C[C@@H]2O)Cl	TRP path	0.94	0.12
ZINC00988927	275.75	C11H14ClNO3S	Cc1c(cccc1Cl)N[C@H]2CS(=O)(=O)C[C@@H]2O	TRP path	1.03	0.15
ZINC01031908	294.31	C16H14N4O2	Cc1c(c(no1)c2ccccc2)c3ccnc(n3)NC(=O)C	PI3K	1.01	0.12
ZINC01036768	197.23	C13H11NO	c1ccc(c(c1)/C=C/c2ccncc2)O	Autophagy	1.20	0.42
ZINC01048260	260.53	C6H4Cl3NO2S	c1c(c(cc(c1Cl)Cl)Cl)S(=O)(=O)N	Cations channels	0.99	0.11
ZINC01064111	250.29	C13H18N2O3	CC[C@@]1([C@@](N(C(=O)O1)Nc2ccccc2)(C)O)C	Proteasome I-lact-mg 132	0.85	0.04
ZINC01072160	322.40	C20H22N2O2	Cc1cccc(c1NC(=O)[C@H]2CC(=O)N(C2)Cc3ccccc3)C	GLN path	0.94	0.05
ZINC01076000	191.27	C12H17NO	C[C@H]1CC(Nc2c1cc(cc2)O)(C)C	Proteasome inducers	0.86	0.10
ZINC01076840	310.39	C15H20NO4S	C[C@@H]1CN(C[C@H](O1)C)C(=S)c2cc(c(c(c2)OC)O)OC	PI3K	0.90	0.06
ZINC01106203	346.41	C19H14N4OS	c1ccc(cc1)c2c(c(nnc2c3ccccc3)SCC(=O)N)C#N	HIS path	1.03	0.08
ZINC01226820	159.23	C11H13N	CCc1c(c2ccccc2[nH]1)C	AKT1	0.88	0.08
ZINC01244188	302.43	C22H24N	CC[N+]1(Cc2cc3ccccc3c(c2C1)c4ccccc4)CC	E3 ligase	1.20	0.03
ZINC01386415	297.35	C17H19N3O2	CCOC(=O)c1cnc(nc1N2CCCC2)c3ccccc3	Calcineurin1	0.99	0.14
ZINC01386521	182.22	C12H10N2	c1cc(c2ccc3cccn3c2c1)N	Proteasome inducers	1.07	0.04
ZINC01387152	276.72	C13H13ClN4O	CN(Cc1ccccc1)c2c(c(nc(n2)N)Cl)C=O	AKT1	1.13	0.18
ZINC01387195	185.44	C4H3Cl3N2	Cn1c(c(c(n1)Cl)Cl)Cl	Calcineurin1	0.99	0.07
ZINC01388874	192.04	C7H7Cl2NO	COc1cc(c(cc1Cl)Cl)N	Proteasome I-lact-mg 132	0.94	0.10
ZINC01391153	338.79	C19H15ClN2O2	c1ccc(cc1)Cn2cccc(c2=O)C(=O)Nc3ccc(cc3)Cl	Lip	0.84	0.16
ZINC01393003	300.42	C17H20N2OS	Cc1ccc(cc1)NC(=S)N[C@H](Cc2ccccc2)CO	Proteasome I-lact-mg 132	1.22	0.12
ZINC01393478	290.32	C17H14N4O	Cc1ccc(cc1)c2ncc(c(n2)c3ccncc3)C(=O)N	ABC transporters	0.95	0.12
ZINC01394722	269.32	C16H16FN3	Cc1cc2nc(c(c(n2n1)C)Cc3cccc(c3)F)C	Calcineurin1	1.09	0.07
ZINC01394939	268.31	C15H16N4O	Cc1cc2nc(c(c(n2n1)N)c3ccc(cc3)OC)C	Calcineurin1	0.94	0.09
ZINC01400202	272.27	C15H13FN2O2	C=CCn1cccc(c1=O)C(=O)Nc2ccc(cc2)F	Lip	0.60	0.08
ZINC01400204	288.73	C15H13ClN2O2	C=CCn1cccc(c1=O)C(=O)Nc2ccc(cc2)Cl	Lip	0.98	0.03
ZINC01402095	303.38	C15H17N3O2S	CS(=O)(=O)c1cnc(nc1N2CCCC2)c3ccccc3	Calcineurin1	0.99	0.08
ZINC01403289	224.11	C6H7Cl2N3S	CNc1nc(c(c(n1)Cl)SC)Cl	Calcineurin1	0.99	0.07
ZINC01406325	268.48	C6H6ClIN2	Cc1c(c(nc(n1)C)Cl)I	AKT1	0.99	0.02
ZINC01406332	233.70	C12H12ClN3	c1cc2c(cc1Cl)ncnc2NCC3CC3	Autophagy	1.08	0.07
ZINC01420952	206.67	C11H11ClN2	Cc1ccc(c2c1nc(cc2Cl)C)N	Proteasome I-lact-mg 132	0.53	0.10
ZINC01422377	264.32	C14H20N2O3	C[C@]1([C@@](N(C(=O)O1)N(C)C)(C)O)Cc2ccccc2	TRP path	0.84	0.05
ZINC01424657	337.37	C19H19N3O3	c1ccc(cc1)OCC(=O)N2CCN(CC2)c3nc4ccccc4o3	ATPase	0.96	0.08
ZINC01424788	290.27	C14H13FN3O3	c1cc(cc(c1)F)C(=O)Nc2cnn(c2)CCCC(=O)[O-]	CYS path	0.87	0.24
ZINC01431470	236.31	C14H20O3	COc1ccc(cc1OC)[C@@H]2CCCC[C@H]2O	FASII-PDIM metabolism	1.00	0.05
ZINC01450902	282.55	C10H10Cl3NO2	Cc1cccc(c1)C(=O)N[C@@H](C(Cl)(Cl)Cl)O	TRP path	0.95	0.06
ZINC01462057	302.97	C9H7Cl4NO2	c1ccc(c(c1)C(=O)N[C@@H](C(Cl)(Cl)Cl)O)Cl	TRP path	1.04	0.13
ZINC01494930	131.17	C9H9N	Cc1cccc2c1[nH]cc2	AKT1	0.85	0.09
ZINC01561630	261.32	C18H15NO	c1ccc(cc1)C2=C3[C@@H](Cc4c2cccc4)CNC3=O	E3 ligase	0.94	0.13
ZINC01562159	146.27	C8H22N2	C[NH+](C)CCCCCC[NH3+]	Porins	0.90	0.04
ZINC01562261	156.27	C10H20O	C[C@@H]1CCC[C@H](CC1)CCO	TRP path	0.58	0.21
ZINC01562344	262.65	C11H7ClN4O2	c1cc(ccc1n2cnc3c2[nH]c(=O)[nH]c3=O)Cl	E3 ligase	0.97	0.14
ZINC01566231	218.31	C14H20NO	C[C@@]12C[C@@H](Cc3c1cc(cc3)O)C[NH+](C2)C	Proteasome inducers	0.91	0.11
ZINC01569058	275.54	C6H5Cl3N2O2S	c1c(c(cc(c1Cl)Cl)Cl)S(=O)(=O)NN	Cations channels	0.90	0.04
ZINC01569224	297.29	C8H12NO5PS2	COP(=S)(OC)Oc1ccc(cc1)S(=O)(=O)N	Cations channels	0.98	0.15
ZINC01572284	263.73	C12H14ClN5	CCc1c(c(nc(n1)N)N)c2ccc(c(c2)N)Cl	Cations channels	1.09	0.12
ZINC01572285	305.76	C14H16ClN5O	CCc1c(c(nc(n1)N)N)c2ccc(c(c2)NC(=O)C)Cl	Cations channels	0.92	0.04
ZINC01577064	176.25	C12H16O	c1ccc(cc1)[C@@H]2CCCC[C@H]2O	FASII-PDIM metabolism	1.01	0.05
ZINC01577065	176.25	C12H16O	c1ccc(cc1)[C@H]2CCCC[C@@H]2O	FASII-PDIM metabolism	0.98	0.05
ZINC01577066	176.25	C12H16O	c1ccc(cc1)[C@@H]2CCCC[C@@H]2O	FASII-PDIM metabolism	1.02	0.06
ZINC01577507	189.30	C9H23N3O	C[NH+](C)CCN(CC[NH+](C)C)C=O	Porins	0.91	0.05
ZINC01578104	270.35	C20H16N	Cc1cccc2c1c[n+]3ccccc3c2c4ccccc4	E3 ligase	1.36	0.06
ZINC01580458	255.27	C15H13NO3	c1cc2c3c(c1)C(=O)[C@H]4[C@]3(CCCC2)C(=O)NC4=O	Proteasome inducers	1.04	0.22
ZINC01580838	145.20	C10H11N	Cc1cccc2c1[nH]c(c2)C	AKT1	1.21	0.08
ZINC01580881	270.24	C13H10N4O3	Cc1ccc2c(c1)c(c3c(n2)[nH]c(=O)[nH]c3=O)C(=O)N	E3 ligase	0.92	0.12
ZINC01584465	200.30	C14H18N	C[C@@H]1c2ccccc2C3=C1CC[NH+](C3)C	Proteasome inducers	0.95	0.09
ZINC01588897	259.31	C13H17N5O	CCc1c(c(nc(n1)N)N)c2ccc(c(c2)N)OC	Cations channels	0.97	0.09
ZINC01589731	169.24	C10H17O2	C[C@@H](CCC(=O)[O-])C1CCCC1	CYS path	0.90	0.05
ZINC01594493	219.26	C13H15O3	c1ccc(cc1)C(=O)CCCCCC(=O)[O-]	CYS path	0.96	0.06
ZINC01595201	288.38	C18H24O3	CC[C@]12CC(=O)CC[C@@H]1CCc3c2c(c(cc3)OC)OC	Proteasome inducers	1.04	0.24
ZINC01602637	247.72	C14H14ClNO	c1ccc(cc1)[C@@H](CNc2cccc(c2)Cl)O	TRP path	1.36	0.37
ZINC01605940	192.28	C12H18NO	C[NH+]1CC[C@@H](C1)c2cccc(c2)OC	Proteasome inducers	1.02	0.10
ZINC01615127	240.73	C13H17ClO2	COc1ccccc1[C@@]2(CCCC[C@H]2Cl)O	Proteasome I-lact-mg 132	0.95	0.16
ZINC01615703	152.19	C9H12O2	CCCc1c(cccc1O)O	Proteasome I-lact-mg 132	0.77	0.02
ZINC01622457	300.37	C18H22NO3	C[NH+]1CC[C@@]23[C@@H]1Cc4ccc(c(c4C2=CC(=O)CC3)O)OC	Proteasome inducers	0.85	0.04
ZINC01624894	271.53	C9H9Cl3O3	c1c(cc(c(c1Cl)OC[C@H](CO)O)Cl)Cl	ATPase	1.54	0.84
ZINC01628259	229.27	C14H15NO2	c1ccc(c(c1)C[NH2+]Cc2ccccc2O)O	Autophagy	1.03	0.14
ZINC01633981	197.45	C5H3Cl3N2	Cc1nc(c(c(n1)Cl)Cl)Cl	Calcineurin1	0.92	0.12
ZINC01633982	197.45	C5H3Cl3N2	Cc1c(c(nc(n1)Cl)Cl)Cl	AKT1	1.06	0.10
ZINC01637881	253.55	C6H6BrClN2S	Cc1c(c(nc(n1)SC)Cl)Br	AKT1	0.90	0.06
ZINC01637916	274.88	C4HCl2IN2	c1c(c(nc(n1)Cl)Cl)I	AKT1	0.94	0.04
ZINC01639218	316.20	C12H10F6O3	COc1ccccc1CC(=O)C(C(F)(F)F)(C(F)(F)F)O	TRP path	0.87	0.08
ZINC01640468	293.36	C19H19NO2	c1ccc(cc1)N2C3=C(CC4=C2CCCC4=O)C(=O)CCC3	E3 ligase	0.86	0.02
ZINC01640897	190.28	C13H18O	c1ccc(cc1)C[C@H]2CCCC[C@@H]2O	FASII-PDIM metabolism	1.03	0.09
ZINC01640921	132.25	C7H20N2	C[NH2+]CCCCC[NH2+]C	Porins	0.87	0.03
ZINC01646265	188.27	C13H16O	c1ccc(cc1)C[C@@]23CCCC[C@@H]2O3	FASII-PDIM metabolism	1.12	0.08
ZINC01648047	300.35	C16H14NO3S	c1cc2ccc(c3c2c(c1)CC3)NC(=O)CSCC(=O)[O-]	CYS path	0.96	0.08
ZINC01655941	215.63	C9H10ClNO3	CCOC(=O)Nc1cc(ccc1O)Cl	Proteasome I-lact-mg 132	1.21	0.12
ZINC01662344	186.27	C13H16N	C[NH+](C)Cc1cccc2c1cccc2	Proteasome inducers	0.88	0.04
ZINC01668015	322.79	C15H19ClN4O2	CCOC(c1c(c(nc(n1)N)N)c2ccc(cc2)Cl)OCC	Cations channels	0.99	0.05
ZINC01669858	212.72	C12H17ClO	Cc1ccc(c(c1)CC[C@H](CCl)O)C	TRP path	0.81	0.08
ZINC01670914	196.20	C13H8O2	c1cc2ccc(c3c2c(c1)C=CC3=O)O	Proteasome inducers	0.94	0.11
ZINC01672144	183.42	C4HCl3N2	c1c(c(nc(n1)Cl)Cl)Cl	AKT1	1.04	0.08
ZINC01672145	255.93	C6H5BrCl2N2	Cc1nc(c(c(n1)Cl)CBr)Cl	CYS path	0.76	0.06
ZINC01672296	170.64	C8H11ClN2	CCc1cnc(c(n1)Cl)CC	Calcineurin1	0.98	0.14
ZINC01676192	225.18	C7H16NO5P	CC[C@@H]([N+](=O)[O-])P(=O)(OCC)OCC	CYS path	1.13	0.21
ZINC01677195	206.31	C8H18N2O2S	C1C[NH+]1CCS(=O)(=O)CC[NH+]2CC2	Porins	0.92	0.05
ZINC01677408	204.31	C10H24N2O2	C[NH+](C)CCC(=O)OCC[N+](C)(C)C	Porins	0.89	0.08
ZINC01677603	250.30	C12H18N4O2	c1cnc(nc1N2CCOCC2)N3CCOCC3	Calcineurin1	0.97	0.11
ZINC01677613	246.35	C14H22N4	c1cnc(nc1N2CCCCC2)N3CCCCC3	Calcineurin1	1.17	0.13
ZINC01683094	188.35	C11H28N2	C[N+](C)(C)CCCCC[N+](C)(C)C	Porins	0.88	0.04
ZINC01683101	274.68	C14H9ClNO3	c1ccc(c(c1)C(=O)c2cccc(c2N)Cl)C(=O)[O-]	TRP path	0.88	0.07
ZINC01683178	303.16	C13H14Cl2NO3	c1ccc(cc1)C(=O)NCCCCC(C(=O)[O-])(Cl)Cl	CYS path	0.82	0.08
ZINC01683255	229.27	C14H15NO2	COc1cccc(c1O)CNc2ccccc2	TRP path	1.20	0.04
ZINC01689041	264.28	C17H12O3	c1ccc(cc1)[C@H](C2=CC(=O)c3ccccc3C2=O)O	TRP path	0.94	0.02
ZINC01689136	177.03	C6H6Cl2N2	CCc1cc(nc(n1)Cl)Cl	AKT1	0.77	0.05
ZINC01689137	191.06	C7H8Cl2N2	CCCc1cc(nc(n1)Cl)Cl	AKT1	0.87	0.07
ZINC01689138	191.06	C7H8Cl2N2	CC(C)c1cc(nc(n1)Cl)Cl	AKT1	0.90	0.04
ZINC01689789	238.41	C15H30N2	CC[NH+](CC)CCCC#CC[NH+]1CCCCC1	Porins	0.95	0.04
ZINC01692386	184.23	C6H13FO3S	CS(=O)(=O)OCCCCCF	CYS path	0.73	0.03
ZINC01694018	340.13	C12H10BrN3O4	COc1ccc2c(c1)C(=O)[C@@H]3[C@@](N2)(C(=O)NC(=O)N3)Br	E3 ligase	1.07	0.16
ZINC01698239	254.29	C14H14N4O	C[C@H]1c2c(c(ncn2)N)CN1C(=O)c3ccccc3	Autophagy	0.79	0.06
ZINC01700031	257.28	C15H15NO3	COc1ccc(cc1)NC(=O)[C@H](c2ccccc2)O	TRP path	0.99	0.06
ZINC01700279	276.35	C16H22NO3	CO[C@H]1CC=C2CC[NH+]3[C@]2(C1)C4=C(CC3)COC(=O)C4	Proteasome inducers	1.25	0.19
ZINC01703515	257.24	C13H11N3O3	c1ccc2c(c1)cc-3c(=O)[nH]c(=O)nc3n2CCO	E3 ligase	0.95	0.20
ZINC01707352	208.25	C12H16O3	CCO[C@H](c1ccccc1)C(=O)OCC	CYS path	1.01	0.02
ZINC01709464	254.28	C15H14N2O2	COc1ccccc1/C=N/N=C/c2ccccc2O	Autophagy	1.01	0.20
ZINC01710046	198.30	C12H22O2	CC1=CC[C@H](C1(C)C)CC(OC)OC	CYS path	0.58	0.13
ZINC01710992	272.43	C19H28O	c1ccc(cc1)C(C2CCCCC2)(C3CCCCC3)O	Proteasome I-lact-mg 132	0.99	0.01
ZINC01715810	208.32	C12H16OS	c1ccc(cc1)S[C@H]2CCCC[C@@H]2O	FASII-PDIM metabolism	1.00	0.09
ZINC01717751	272.30	C16H16O4	COC(=O)[C@](c1ccccc1)([C@H](c2ccccc2)O)O	Proteasome I-lact-mg 132	1.02	0.16
ZINC01718072	334.72	C14H11ClN4O4	c1ccc2c(c1)nc-3c(=O)[nH]c(=O)nc3n2CCOC(=O)CCl	E3 ligase	0.61	0.27
ZINC01723038	249.35	C15H23NO2	C[C@@]1(C2(CCCCC2)C(=O)N[C@]13CCCC=C3)O	Proteasome I-lact-mg 132	0.98	0.14
ZINC01723260	132.25	C7H20N2	CC[NH2+]CCC[NH2+]CC	Porins	1.00	0.08
ZINC01728154	216.32	C14H20N2	c1cc(cc(c1)N2CCCC2)N3CCCC3	Calcineurin1	0.98	0.14
ZINC01737769	258.51	C7H8Cl3N2O2	[H]/N=C(\[C@H](C#N)C(=O)OCC)/C(Cl)(Cl)Cl	Proteasome I-lact-mg 132	0.15	0.06
ZINC01743197	263.32	C11H7N2O2S2	c1cc(sc1)C2(C(=NC(=O)N2)[O-])c3cccs3	Cations channels	0.76	0.11
ZINC01743326	222.46	C6H2Cl3N3	c1c2c(nc(n2c(cn1)Cl)Cl)Cl	AKT1	1.23	0.07
ZINC01744394	188.27	C13H16O	c1ccc(cc1)C[C@@H]2CCCCC2=O	FASII-PDIM metabolism	0.97	0.05
ZINC01746048	272.09	C10H7Cl2N3O2	c1cc(c(c(c1)Cl)Cl)Nc2cc(=O)[nH]c(=O)[nH]2	E3 ligase	0.94	0.15
ZINC01751863	265.26	C16H11NO3	c1ccc(cc1)C(=C2NC(=O)C(=O)O2)c3ccccc3	E3 ligase	0.98	0.16
ZINC01765796	162.23	C11H14O	c1ccc(cc1)[C@@H]2CCC[C@H]2O	FASII-PDIM metabolism	1.01	0.05
ZINC01787360	315.14	C12H13BrNO4	C[C@H](C(=O)NCCC(=O)[O-])Oc1cccc(c1)Br	CYS path	0.75	0.13
ZINC01846079	272.32	C10H10NO4S2	C[C@@H](C(=O)NCC(=O)[O-])SC(=O)c1cccs1	CYS path	0.97	0.08
ZINC01865424	254.13	C8H9Cl2NO2S	CCNS(=O)(=O)c1ccc(c(c1)Cl)Cl	Cations channels	1.12	0.05
ZINC01866749	167.21	C12H9N	c1ccc2c(c1)c3ccccc3[nH]2	AKT1	0.92	0.08
ZINC01872262	348.38	C15H16N4O4S	COCCC/N=C\1/C(C(=O)N[C@H](S1)c2cccc(c2)[N+](=O)[O-])C#N	HIS path	0.83	0.02
ZINC01873441	294.11	C9H13INO2	c1cc[n+](cc1)[C@H](CO)[C@@H](CO)I	Proteasome I-lact-mg 132	0.99	0.10
ZINC01972870	235.35	C12H17N3S	Cc1c(sc2c1c(ncn2)NCC(C)C)C	Autophagy	0.87	0.13
ZINC02004262	338.42	C21H24NO3	c1cc(c2c3c1C[C@@H]4[C@H]5[C@]3(CC[NH+]4Cc6ccoc6)[C@@H](O2)CCC5)O	Proteasome inducers	0.94	0.17
ZINC02009495	294.21	C9H8F6O2S	c1cc(sc1)[C@@H](CC(C(F)(F)F)(C(F)(F)F)O)O	ATPase	1.44	0.30
ZINC02036274	169.24	C10H17O2	CC[C@@H](C1CCCCC1)C(=O)[O-]	CYS path	0.94	0.06
ZINC02042129	210.23	C14H10O2	c1ccc(cc1)[C@H]2c3ccccc3OC2=O	Lip	0.95	0.05
ZINC02045475	167.22	C10H15O2	CC1=CC[C@H](C1(C)C)CC(=O)[O-]	CYS path	1.03	0.04
ZINC02048546	286.71	C15H11ClN2O2	c1ccc(cc1)[C@@]2(C(=O)NC(=O)N2)c3ccc(cc3)Cl	Cations channels	0.89	0.04
ZINC02075095	258.50	C8H5BrClN3	c1cc2c(cc1Br)c(nc(n2)Cl)N	Autophagy	1.50	0.04
ZINC02075448	252.15	C6H4N8O4	c1(c(non1)N)C2=NOC(=NO2)c3c(non3)N	PI3K	0.72	0.03
ZINC02096593	346.35	C18H20NO6	Cc1cc2c(c(c(c(=O)o2)C)C)c(c1)O[C@H](C)C(=O)NCCC(=O)[O-]	CYS path	1.08	0.06
ZINC02097134	346.35	C18H20NO6	Cc1c(c(=O)oc2c1ccc(c2C)O[C@H](C)C(=O)NCCC(=O)[O-])C	CYS path	0.95	0.02
ZINC02146716	146.27	C8H22N2	CC[NH+](CC)CCCC[NH3+]	Porins	0.91	0.01
ZINC02159801	161.20	C7H15NO3	CC[C@@H](CO)NC(=O)OCC	Proteasome I-lact-mg 132	0.97	0.09
ZINC02168057	169.22	C12H11N	c1cc2ccc(c3c2c(c1)CC3)N	Proteasome inducers	0.94	0.04
ZINC02238955	335.35	C20H17NO4	CCOc1ccc(cc1)[C@H]2c3c(=O)c4ccccc4oc3C(=O)N2C	Lip	1.03	0.10
ZINC02318582	293.32	C13H13N2O4S	Cc1cccc(c1)N[C@H]2C(=O)N(C(=O)S2)CCC(=O)[O-]	CYS path	1.02	0.01
ZINC02365627	257.10	C8H2Cl2N4S	c1cc2c(c3c1nc(c(n3)Cl)Cl)nsn2	Calcineurin1	0.48	0.09
ZINC02382128	237.58	C9H5ClF3O2	c1cc(c(cc1C(F)(F)F)CC(=O)[O-])Cl	CYS path	1.01	0.13
ZINC02395731	244.27	C14H14NO3	c1ccc(c(c1)C(=O)[O-])NC=C2CCCCC2=O	TRP path	1.04	0.16
ZINC02407651	326.39	C19H22N2O3	Cc1ccc(cc1)CNC(=O)N[C@@H](Cc2ccccc2)C(=O)OC	Proteasome I-lact-mg 132	1.06	0.09
ZINC02440825	208.19	C8H17O4P	CC[C@@H](C=O)P(=O)(OCC)OCC	CYS path	0.99	0.07
ZINC02470286	262.33	C14H20N3O2	C[NH+](C)CCCN=c1c2ccccc2oc(c1N)O	ATPase	1.00	0.08
ZINC02472312	254.33	C16H18N2O	Cc1ccc(cc1)[C@H](c2ccccc2C)NC(=O)N	Lip	0.96	0.09
ZINC02510358	252.27	C15H12N2O2	c1ccc(cc1)C2(C(=O)NC(=O)N2)c3ccccc3	Cations channels	1.03	0.08
ZINC02516806	145.20	C10H11N	CCc1cccc2c1[nH]cc2	AKT1	1.35	0.05
ZINC02557704	259.28	C14H15N2O3	c1ccc2c(c1)c(c[nH]2)CCNC(=O)CCC(=O)[O-]	CYS path	0.96	0.09
ZINC02558079	203.07	C9H8Cl2O	CC(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	1.49	0.10
ZINC02558608	227.87	C4HBrCl2N2	c1nc(c(c(n1)Cl)Br)Cl	Calcineurin1	0.93	0.06
ZINC02563372	188.35	C11H28N2	CC(C)[NH+](CCCCC[NH3+])C(C)C	Porins	0.93	0.14
ZINC02565661	256.02	C6H5BrF3N3	Cc1c(c(nc(n1)N)C(F)(F)F)Br	AKT1	0.92	0.06
ZINC02567990	146.27	C8H22N2	C[NH2+]CCCCCC[NH2+]C	Porins	0.99	0.11
ZINC02570138	191.06	C8H8Cl2O	c1cc(c(c(c1)Cl)CCO)Cl	TRP path	0.97	0.03
ZINC02571853	169.59	C8H6ClO2	Cc1cccc(c1Cl)C(=O)[O-]	CYS path	0.98	0.05
ZINC02572251	146.27	C8H22N2	CC(C)[NH2+]CCCCC[NH3+]	Porins	0.98	0.14
ZINC02643380	346.35	C12H9F3N4OS2	c1ccc2c(c1)n3c(s2)nnc3SCC(=O)NCC(F)(F)F	HIS path	0.87	0.10
ZINC02685033	318.37	C16H16NO4S	Cc1ccc(cc1C(=O)[O-])S(=O)(=O)N(C)Cc2ccccc2	CYS path	1.03	0.10
ZINC02685796	268.31	C15H16N4O	c1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.89	0.04
ZINC02739631	290.57	C9H14Cl3NO3	CC(C)C[C@@H](C(=O)OC)NC(=O)C(Cl)(Cl)Cl	Proteasome I-lact-mg 132	1.11	0.04
ZINC02744073	233.17	C9H7F4N3	Cc1cc2nc(cc(n2n1)C(F)F)C(F)F	Calcineurin1	0.96	0.07
ZINC02770044	333.30	C15H18F3NO4	CCOC(=O)[C@](CC(=O)Nc1cccc(c1C)C)(C(F)(F)F)O	Proteasome I-lact-mg 132	1.01	0.11
ZINC02780124	278.30	C14H18N2O4	COc1cc(c(cc1OC)OC)/C=N/NC(=O)C2CC2	PI3K	0.80	0.13
ZINC02835847	176.17	C7H12O5	CO[C@H](CC(=O)OC)C(=O)OC	CYS path	0.90	0.14
ZINC02842688	294.08	C11H6BrN2O3	c1cc(cc(c1)Br)/C=C/2\C(=O)NC(=O)N=C2[O-]	E3 ligase	0.84	0.03
ZINC02847150	277.24	C9H5N6O3S	c1cc(sc1)c2c(nnn2c3c(non3)N)C(=O)[O-]	PI3K	0.85	0.12
ZINC02860901	337.40	C17H15N5OS	C=CCn1c(nnc1SCc2[nH]c3ccccc3n2)c4ccco4	HIS path	1.00	0.09
ZINC02927752	221.32	C11H15N3S	CCCCNc1c2cc(sc2ncn1)C	Autophagy	0.97	0.05
ZINC03013275	266.64	C11H7ClN2O4	c1cc2c(cc1Cl)C=C3C(=O)NC(=O)N[C@@]3(O2)O	E3 ligase	1.49	0.22
ZINC03040526	266.29	C13H18N2O4	CCOC(=O)[C@@H]([C@H](c1ccc(cc1)N)O)NC(=O)C	Proteasome I-lact-mg 132	0.97	0.01
ZINC03057914	307.34	C15H21N3O4	CC(C)(C)NC(=O)C(=O)N/N=C/c1ccc(c(c1)OC)OC	PI3K	0.92	0.06
ZINC03058094	307.34	C15H21N3O4	CCN(CC)C(=O)C(=O)N/N=C/c1ccc(c(c1)OC)OC	PI3K	1.05	0.11
ZINC03091240	261.23	C13H11NO5	Cc1c(cco1)COC(=O)c2ccc(cc2)[N+](=O)[O-]	HIS path	1.00	0.00
ZINC03124980	174.24	C12H14O	c1ccc(cc1)C[C@H]2CCCC2=O	FASII-PDIM metabolism	0.83	0.07
ZINC03126171	316.36	C19H16N4O	c1ccc(cc1)c2c(c(nnc2c3ccccc3)NCCO)C#N	HIS path	1.12	0.06
ZINC03131412	317.38	C21H19NO2	CC(=O)N1C[C@H]2[C@@H](c3ccccc3C=C2C(=O)C1)c4ccccc4	E3 ligase	1.02	0.07
ZINC03138016	291.22	C12H12F3NO4	CCOC(=O)[C@@](C(F)(F)F)(NC(=O)c1ccccc1)O	TRP path	0.99	0.01
ZINC03163860	245.66	C12H8ClN3O	Cc1c(c2nc(c3ccccc3n2n1)Cl)C=O	Calcineurin1	0.90	0.11
ZINC03176776	302.39	C21H20NO	Cc1ccc(cc1)C(=O)C[n+]2ccc(cc2)Cc3ccccc3	GLN path	1.06	0.06
ZINC03180608	250.47	C8H2Cl3NO2	c1c(c2c(c(c1Cl)Cl)C(=O)C(=O)N2)Cl	AKT1	0.79	0.02
ZINC03194940	273.33	C16H19NO3	COc1ccccc1NC[C@H](COc2ccccc2)O	TRP path	1.53	0.04
ZINC03209151	293.32	C16H15N5O	c1ccc2c(c1)c(c[nH]2)/C=N/NC(=O)c3c4c([nH]n3)CCC4	MeC	0.83	0.08
ZINC03222749	280.32	C17H16N2O2	Cc1ccc(cc1)C2(C(=O)NC(=O)N2)c3ccc(cc3)C	Cations channels	1.40	0.05
ZINC03252794	267.67	C12H10ClNO4	c1cc(ccc1/C=C/C(=O)OC/C=C/Cl)[N+](=O)[O-]	HIS path	1.17	0.11
ZINC03262894	347.26	C14H16Cl2N2O2S	C[C@@]1(CC1(Cl)Cl)C(=O)NC(=S)N(CCO)c2ccccc2	Proteasome I-lact-mg 132	0.95	0.16
ZINC03273208	302.78	C15H11ClN2OS	c1ccc2c(c1)c(n(c(=S)n2)Cc3ccc(cc3)Cl)[O-]	TRP path	1.00	0.04
ZINC03304614	219.67	C11H10ClN3	c1ccc2c(c1)c(nc(n2)Cl)NC3CC3	Autophagy	1.07	0.03
ZINC03307107	278.37	C14H18N2O2S	c1ccc(cc1)CN(CCO)C(=S)NC(=O)C2CC2	Proteasome I-lact-mg 132	1.06	0.25
ZINC03313212	232.08	C10H9Cl2O2	Cc1c(cc(cc1CCl)C(=O)[O-])CCl	CYS path	0.97	0.03
ZINC03320009	247.36	C13H17N3S	CCNc1c2c3c(sc2nc(n1)C)CCCC3	Autophagy	0.85	0.25
ZINC03320544	251.35	C12H17N3OS	c1cnc(nc1)SCC(=O)N2CCCCCC2	Calcineurin1	1.08	0.04
ZINC03332188	332.44	C15H16N4OS2	c1ccc2c(c1)n3c(s2)nnc3SCC(=O)NC4CCCC4	HIS path	0.88	0.17
ZINC03342051	280.32	C15H20O5	CC(C)(C)C(=O)COC(=O)c1ccc(c(c1)OC)OC	PI3K	1.00	0.10
ZINC03359532	331.32	C16H17N3O5	c1ccc(cc1)CN2C(=O)C(=O)N(C2=O)CC(=O)N3CCOCC3	GLN path	0.86	0.12
ZINC03423395	348.46	C22H26N3O	Cc1cc(c(n1Cc2ccccc2)C)C(=O)C[n+]3ccc(cc3)N(C)C	GLN path	0.92	0.09
